id,lat,lon
1704295829,55.4683999,7.8138483
1704295850,55.4684854,7.8227042
1704295860,55.4685703,7.8315602
1704295866,55.4686545,7.8404162
1704295881,55.468738,7.8492722
1704295891,55.468821,7.8581283
1704295897,55.4689033,7.8669845
1704295923,55.4689849,7.8758407
1704295925,55.4690659,7.8846969
1704295929,55.4732982,7.8037658
1704295937,55.4733845,7.8126228
1704295944,55.4734701,7.8214798
1704295950,55.473555,7.8303369
1704295960,55.4736393,7.839194
1704295974,55.473723,7.8480512
1704295986,55.473806,7.8569084
1704296008,55.4738884,7.8657657
1704296027,55.4739701,7.874623
1704296047,55.4740512,7.8834803
1704296053,55.4782825,7.8025231
1704296062,55.4783689,7.8113812
1704296067,55.4784545,7.8202393
1704296085,55.4785396,7.8290975
1704296092,55.478624,7.8379557
1704296102,55.4787077,7.846814
1704296129,55.4787909,7.8556723
1704296136,55.4788733,7.8645307
1704296163,55.4789552,7.8733891
1704296175,55.4790364,7.8822476
1704296194,55.483267,7.8012958
1704296210,55.4833534,7.810155
1704296242,55.4834392,7.8190143
1704296254,55.4835243,7.8278736
1704296283,55.4836088,7.8367329
1704296296,55.4836926,7.8455923
1704296320,55.4837759,7.8544518
1704296332,55.4838584,7.8633113
1704296354,55.4839404,7.8721708
1704296365,55.4840217,7.8810304
1704296392,55.4882514,7.8000683
1704296397,55.4883379,7.8089286
1704296411,55.4884238,7.8177889
1704296423,55.488509,7.8266494
1704296438,55.4885936,7.8355098
1704296441,55.4886775,7.8443703
1704296456,55.4887608,7.8532309
1704296470,55.4888435,7.8620915
1704296500,55.4889255,7.8709522
1704296516,55.4890069,7.8798129
1704296542,55.4932268,7.7988406
1704296547,55.4933134,7.8077021
1704296584,55.4933994,7.8165636
1704296621,55.4934847,7.8254251
1704296627,55.4935694,7.8342867
1704296674,55.4936534,7.8431483
1704296691,55.4937368,7.85201
1704296721,55.4938196,7.8608717
1704296768,55.4939017,7.8697335
1704296818,55.4939832,7.8785953
1704296831,55.498211,7.7975966
1704296849,55.4982977,7.8064592
1704296884,55.4983838,7.8153218
1704296903,55.4984692,7.8241844
1704296926,55.498554,7.8330471
1704296946,55.4986381,7.8419098
1704296981,55.4987216,7.8507726
1704296999,55.4988045,7.8596355
1704297034,55.4988867,7.8684983
1704297052,55.4989682,7.8773613
